id	prompt	essay	content	organization	language	total
409	University:Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.	"I suggest that students should attend classes with following 3 reasons. 

First, You can learn more detailed and advanced quality. If you don’t come to the class, you’ll miss professor’s additional but intenisve information and useful knowledges which is not written in the textbook or other lecture materials. 

 Second, You can have immediately question to professor during the class about the things you have trouble in understanding. Some people says there are other ways to interact to professor like e-mail even if you are not attend the class, But since you should question to professor by e-mail or other materials and this would take much time. And for some cases, If there exist some points you can’t understand then you can’t proceed to next topic and this would be waste of time

 Finally, You can interact with other students. You can share question or opinions of other students since class would be interactive. Question of classmates is especailly useful because they have similar understanding level about the same topic so you would have more possibility to wonder about the same thing. This would help your study. 

 In summary, attending class is much better since you can interact with professor and other students and also you can take better lecture."	3.5	3.0	3.0	9.5
1375	If you could change one important thing about your country, what would you change? Give specific reasons and details to support your opinion.	"If I can change one important thing in my country, I change  the recognition of success . We grow up , hearing that ""you should study very hard!"".  
It results  in a thought or recognition,  studying and making much money is definition  of success. However, I do not say studying and being  a millionaire or billionaire  is not a gauge of success. There is  three reasons about it. 
First of all , almost every people  have ther  own goals which is filled with things they like and love.  However, if their goals is not matched with other's expectation, for example, to enter the best university, they become weak and give up easily ther dreams.
Best method to engage in goals they dream is to change the recognition about criterion of success.
In addition, thoughts about the success in Korea result in more complex emotional problems. People think studying is the best method to achieve goals. These thouhgts cause students to recognize their friends as competitors.
Consequently, it makes them feel complex and emotional sickness. what we should give them is not emotional tiredness but motive to achieve their goals.
Finally, changes of recognition about success can make our nation develop compared with other countries. In the world, develpment of nation can result in high nation competitiveness because many people do their best only what they want.
Thus, Korea becomes wholy developed nation in many aspect of art, literature, study and so on.
In other words, we make efforts to change the recognition of success to make our Korea be filled with people who do what they want, feel happy about around people and are skilled with their job."	4.0	3.0	3.0	10.0
1902	You have the opportunity to visit a foreign country for two weeks. Which country would you like to visit? Give specific reasons and details to support your opinion.	"There are many countries which I want to visit. But these days, visiting foreign countries is prohibited because of covid-19, so I couldn't visit a foreign country. If I have the opportunity to visit a foreign contry, I really want to visit U.S.A. There are several reason I want to visit there.
First, I have visited some foreign countries such as France, England, Italy, Germany, China, Taiwan, but I have never visited U.S.A. I want to go and see some famous landmarks in U.S.A. Two weeks are long time to travel a foreign country. There are many states in U.S.A and it is large to travel, so it is appropriate to visit for two weeks. And Temperature is one of the important condition to visit a foreign country. U.S.A's weather is similar with Korea, that is, U.S.A is not very hot or very cold so U.S.A is good to travel.
Second, I want to communicate with foreign people in English. I am not good at English speaking rather than reading or writing, listening. So I think visiting U.S.A can be great opportunity to develop my English speaking skills. Not only practicing English myself, but also talking with foreign people who use English would be very helpful to me. After I graduate the university, I want to study in a foreign country to get master or doctor degree. So increasing English speaking skills is necessary to me. 
Finally, I want to visit my friend's house. I have a friend who has lived in Los Angeles. He always said He will invite to his house when I visit U.S.A to me. So I promised that I will visit U.S.A later. If I visit U.S.A, I can meet my friend and I can sleep at my friend's house, then I can save some money. Also he can guide me to travel U.S.A because he knows U.S.A well.
In conclusion, I would like to visit U.S.A because I have never been to U.S.A and I want to communicate in English and I want to visit my friend's house. If the covid-19 disappears and I have the opportunity to visit other countries, I really want to go U.S.A. I hope I can visit U.S.A until next year."	4.0	4.0	3.0	11.0
1558	If you could change one important thing about your country, what would you change? Give specific reasons and details to support your opinion.	" In Korea, Man need to go army 2 years by military duty. Recently, army is getting more comfortable because of advanced humanity and broadcasting real life and issues in military. Soldier allows their cell phone to communicate outside of base also they get more wage and short military period than before. 
 Even though military is more comfortable than before, still many person try to avoid going military because they think 2 years in military can make career distortion, lack of freedom and other several reasons. Some people think military is best place to clearing their mind and think about their future. But, this opinion doesn't considering why rest amount of time is given to soldier. Military is not a good place to do self-development. Many military base is in the country side even they located top of the mountain. This penalty can make lack of supplying resource from outside. Also, many base is lack of instrument because base builds too long time ago. So that, soldier has forcely their time that can't communicate outside well and situated lack of resource anvironment when end of day work.  Korea needs to change this military system."	3.0	3.0	3.0	9.0
1431	If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion.	"    What do you think the necessary points which people can be lived? Generally, people say the clothes to wear, the places to live, and the foods to eat. Besides three things, people need various things to live as human. In my university, KAIST, most of things consist well enough to satisfy people, but I think there are some deficient things in eating. Therefore, I would introduce why KAIST could change the policies related to eating.

     The first problem is the number of kinds of the food. As you look around KAIST, there are few restaurants like Kaimaru, Lotteria, Subway. Although Kaimaru has four types of restaurants, their menu are limited and the students who lived for a year feel that the food is always repeated.

     The second problem is the open time of restaurants. KAIST students used to late at lunch or dinner by their study or research. Then most of restaurants in KAIST closed in that time and the students should eat their meal in outdoors.

     In conclusion, the eating in KAIST has the problems in types of food and time. I think it could be solved by increasing the number of restaurants, and I hope these problem solve as soon as possible."	3.5	3.5	4.0	11.0
953	University: Some universities require students to take classes in many subjects. Other universities require students to specialize in one subject. Which is better? Use specific reasons and examples to support your answer.	"Specialize in One Subject is Mandatory
     Recently, many discussions regarding how to educate students have been made. One topic in the discussion is about whether students have to specialize in one subject or take classes in various subjects. In my opinion, specializing in one subject is much better than taking classes in many subjects for several reasons.
     First, modern society requires specialists in one field rather than transdisciplinary talents. Nowadays problem that we have to solve is really complicated and is a really large one. This implies that finding someone who can take care of all parts of the problem is impossible. Instead of one convergence talent, lots of experts from various areas cooperate to handle one big problem by solving small, but complex components of the problem. Therefore, specializing in one area is important to handle modern complicated problems.
     Next, training experts is more efficient. Knowledge of modern society is too deep and wide to cover all areas. About 2 or 3 centuries ago, scholars of that era studied about many areas; mathematics, physics, and chemistry and so on; however, as humans accumulate their knowledge, the research area has become deeper and more complex than in past days. This fact makes educating enough level of convergence talent much harder. However, training experts takes much lower costs and is easier than training convergence talents. To sum up, specializing in one subjects can produce more competitive researchers.
     Some argue that training leaders who can understand and integrate ideas from various area is more important in modern era; however, such talented leaders can be easily replaced by cooperation of experts. Nowadays, the leader who can point the way to proceed and manage every component of work is vanishing. Instead, cooperation of specialists takes its place. Modern problems can be handled by cooperation of many specialists. Therefore, it is more beneficial to train specialists than transdisciplinary leaders.
     In conclusion, educating experts in one field is more efficient, and fits to current trend. In modern era, training convergence talents is not competitive anymore. Therefore, we should encourage students to specialize in one subject than taking multiple kinds of subjects."	4.0	4.0	4.5	12.5
2247	If you could change one important aspect about your university, what would you change? Give specific reasons and details to support your opinion.	" What is advantage of fast food restaurant? Why do you use fast food restuarant and eat fast food? I think it's taste, long open time and short time to receive food makes people to use fast food restuarant. But Lotteria in our university doesn't work well at this points, so I want to change Lotteria to other fast-tood restaurant for three reasons. 
 First, Lotteria doesn't have representative menu to attract people. In Lotteria, there is a 'Mozzallela in the Burger', but this bugger seems weaker than other fast-food restuarant's representative burger. For example, there are 'Bulgogi burger' in Macdonalds, and 'Ssai burger' in Mom'stouch, and there are main burger with lot of popular in BurgerKing. Except Lotteria, there are mania of each fast food restaurants with common popular, and I could tell Lotteria is not popular to other peoples than other fast food restaurants like Macdonalds, Momstouch, and Burgerking.
 Second, there are uncommon break time in Lotteria at KAIST. Students can't order hamburger until 6pm. Students only can order deserts like icecream or coffee. Lotteria in KAIST said there are lack of workers, so unevitably they recieve hamburger order after 6pm. I could understand about lack of workers, but wait to eat Lotteria until 6pm is quit late to eat dinner for some students.  In my opinion, fast food restaurant's biggest advantage is can order various time without break and long opening time. So I suggest use more workers to receive order more early than 6pm or having another fast food restaurant in KAIST instead of Lotteria.
 Last, student need to wait long time to order their hamburger and receive them. Unlike their name ""fast food"", students need to wait very long time to have their meal in Lotteria in KAIST. Usually student have to wait 30-40 minutes to order their meal at lunch or dinner time, and more time is needed to receive what they ordered. Because of this problem, I try to go little bit earlier than dinner time, but I couldn't order my meal because of Lotteria's uncommon break time. Usually, people go to fast food reastaurant to have their meal compactly, but we can't eat our meal fastly at Lotteria in KAIST.
 For these reasons, there are lot of complains about Lotteria. So I suggest change Lotteria to another fast food restaurant like Macdonalds, Mom'stouch, or Burgerking. If if is not sufficient, I rather suggest having more workers at lunch and dinner time to run Lotteria fastly. If my suggestion adopted, more students will go Lotteria and it's selling will increased, or more students can have their meal easily. "	3.5	3.5	3.5	10.5
1751	If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion.	"If I could change one thing, I will change the method of listening lecture in my university. I think lots of classes are focused on only delivering knowledges. our most of classes are composed of only listening lectures.It has a lot of great adventures. For example, We can know a lot of knowledge and absorb the teacher's ideas. But i think that it will be dangerous to students in these days. There are three reasons in my opinion. 
First of all, Only listening lectures let stop thinking on their way.  I believe that we have to discuss and share ideas in class time. I want to say that making own ideas and thinking is more important than good scores in tests. So it is very important to express their ideas and share thinking in lectures.
Second, the method of only listening lecture is dangerous to fix their mindset.  It makes to focus on only taking tests in their lecture. Students have to develop own their thinking and mind. Flexible mindset can change the world better. However fixed knowledge can't change anything. In these reasons, We have to develop to express ideas with people. Only few listening lecture is necessary to students. But, the most of lectures have to change the method and processes. 
Third, the only listening class of lecture is old process in old university. Nowadays, there are new knowledge and ideas. In these days, Making new knowledge is very necessary point. So we need to find the new insight while sharing ideas with professors and students. 
Finally, Although I definitely agree to absorb the knowledge while listening lecture. But it is too dangerous to focus listening. In these reasons, I want to change the process of listening in class time. "	3.5	4.0	2.5	10.0
1469	In your opinion, what are the qualities of a good student? Give specific reasons and details to support your opinion.		4.0	4.5	3.0	11.5
351	Some universities require students to take classes in many subjects. Other universities require students to specialize in one subject. Which is better? Use specific reasons and examples to support your answer. 	"The impact of the development of computers is one of the most controversial issues facing the world today. Some people claim that computers have made life complex and stressful. On the other hand, I believe that computers have made life easier and more convenient, because of information accessible through the internet, globalization.
 First of all, Some argue that countless information including private information is opened on the internet even though people want. On the other hand, information and knowledge in the various areas are accessible via the internet. In the past, information was exchanged by letters or face to face meeting. Furthermore, a lot of knowledge was learned from books. However, since the internet has developed in the world, people can easily ask about the recent situation of friends and families. Also, by sharing knowledge in the media, a lot of students can get opportunities for learning. Even though inevitable information can be opened, convenient accessibility of information via the internet give people more interactive relations and educational opportunities. 
 Next, computers have made the world globalized. Through the various interactions with other countries, people can get an interest in other countries' cultures. For example, BTS from South Korea could be famous all over the world since their music videos and performance videos are spread fast through SNS such as Twitter and YouTube. The development of computers made people interact and share their cultures with each other conveniently. As the result, globalization has been proceeding all over the world. 
 In conclusion, the development of computers brings positive effects such as the accessibility of information and globalization. As some say that computers have made life complex, if people struggle to use computers positive, we can solve many problems with computers ."	4.0	4.0	4.0	12.0
1808	Many students choose to attend schools or universities outside their home countries. Why do some students study abroad?	" Which country do you think is the best country to study. Korea is also good option. However, there are some people that studying in foriegn countries is much better option. Students who study abroad because it can be the special experience and the good chance to learn.
 First, studying abroad is special experience. Usual people have visited foreign countries just for travelling, and also there are people who have not visited a foreign country yet. Living in the another country is an unusual and special experience for itself. Not just for living culture, the way to study is different in foriegn countries. Studying in different ways is also helpufl experience.
 Second, studying abroad can be better chance to learn than studying in their home country. Foreign people have different cultural background and different perspective. If we meet them and interact with them,  we will have broader perspective. Another good point is learn English even fast. We use English when we should communicate with foreign people. It is clear that the longer time we use English, the easier learning English is.
 In short, studying abroad can provide special experience and good environment to learn new things. You should go abroad and study, live there if you like new challenge."	3.0	3.5	3.0	9.5
669	Some people believe that success in life comes from taking risks or chances. Others believe that success results from careful planning. Which do you agree with? Use reasons and specific examples to support your opinion.	"Most of people want to success in life. Success is the most important thing to achieve, and it is not easy to most of people. Success in every project in our life leads to success in life. Some people may say that success comes from chances, and luck is the most important factor in success. However, I think success is the result of careful and sophisticated planning.
 First, success without careful planning is easy to fail later. Success with luck is that all factor of project are good state, and they are not made of you. Therefore, if one factor in project becomes wrong, it is not easy to fix the factor and make all factors good again. Then, several factors becomes wrong, and you don't know how to fix them, and the project would fail. However, if we know about all plans in the project, we can know what goes wrong immediately, and we can fix what goes wrong as soon as possible. Some people might say that success with careful plannig also cannot cover all factors in the project. However, it is much better that some main factors can be fixed if they go wrong than that we do not know what to repair.
 Second, people can repeat success with careful planning in the simillar situation. We will encounter simillar situations if we do project in the same subject. The factors that influence the simillar situation are same in the previous situation we success. As we experience the simillar situations again and again, we can accumulate the ways which are helpful to success in the project. Therefore, we can success easily in the next project and it leads to success in life.
 Lastly, we can share our work with our colleagues with careful planning. We cannot do the big project alone, so we need to collaborate with other people. However, if we do not know overall plans in the project, we cannot share our thoughts or plans with other people. It makes the success of the project slower, or it can be result in failure in the project. Sharing the same plans is important to collaborate in the same project. We can get help by other people easily when we explain where we need help.
 In conclusion, success with good plans can fix what goes wrong, repeat the success in similar situations, and share our work with our teammates. Although there is no perpect plan to success, we need to do our best to plan carefully and make good plan. Good plan and your efforts lead to success in your life."	3.5	3.0	3.0	9.5
441	Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer.	"Education programs in these days usually encourage people to discuss their thinking with others. Some professors in KAIST even tell students to study as a group. However, there are still lots of debate about studying with a group is efficient or not. I personally think that studying together eventually enhance performance in perspective of getting knowledge.

Some might said that studying with a group will cause significant decrease of patience. However, there are lots of researches that studying with friends with same goal make the group to accomplish faster than studying alone. It may decrease patience sometimes, but group with aligned purpose will succeed at the end. Also, there are some opposing argument that studying alone is efficient when time is limited. However, studying is not just activity to prepare for single test. We should study forever to develop myself and become better person. Therefore, thinking study as time-attak task is not right. In addition to these couterarguments to the claim that  studying alone is better, there are several reasons why studying as a group is better.

First reason is that studying as a group will eventually make that group to acoomplish goal very concisely. If we study together, we usually have time to test that my knowledge is right. By doing this, we can figure out that we are doing right now. As I said above, study is not time-attack task. We should make castle of knowledge as concrete as possible. Studying with group will help me to get exact knowledge. 

Second reason is that studying as a group will encourage group to overcome some difficult task. If we study some very hard fields, there might be some point that nobody knows how to solve some problem. Then thinking as a group will make me to overcome this. There is word “group intelligence”. This means thinking as a group has more diversity and even more concreteness than thinking as individual. In perspective of getting knowledge, group study will help to find unsolved problem. Even you cannot find solution, experience with different point of view will make your life more flexible than before. 

As I wrote, despite of opposing arugments that studying alone is better, there are quite lots of good reasons that we should study as a group. Human is social animal. We can become top predator of Earth, since we are the animals that can communicate the most complex than others. If we study as a group, we will not only learn about that field concisely, but also learn how to solve hard problem with communication. If we go out to society and work, these will me the most valuable experience. I hope every students in KAIST know this things and help each other to become leader of world."	4.5	4.5	4.0	13.0
1284	If you could change one important thing about your country, what would you change? Give specific reasons and details to support your opinion.	" If I could change one important thing about my country, I would change the language that lots of country use, such as english.

 First, we don't have to learn foreign language. In my country, most of student spend a lot of time to study english. If we use common language, we can save that time and do other things. Also the stress from the study would be decreased. It would be really helpful to student.

 Second, we can communicate easily with foreign people. The easier communication would promote the collaboration with other country. And the collaboration would improve the study, company, literature, art, etc. We can enjoy the better quility of many things.

 Finally, we can go traveling more comfortablely. There are lots of uncomfortable things because of the difference of the language. If we can't speak foreign language, we need the translation machine or guide. However, if the languages that used in other country and my country are same, we wouldn't need them.

 As these reason, I would change the language if I could change one important thing about my country."	3.5	4.0	3.5	11.0
