id	prompt	essay	content	organization	language	total
2189	If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion.	"  My university has many advantages, but I want to change one important thing. These days, students take online classes by zoom, which is people use to have online classes. After COVID 19, students will have to take face-to-face classes in buidings. I want to change this system. I am in favor of taking classes by zoom after COVID 19 for these three reasons.
 FIrst of all, students can reduce time. In my opinion, today I got up early and walked 20 minutes to take a class in the morning. If it is not face-to-face class, I can sleep more time or do something. And after class, I walked 20 minutes to back to my dormitory. I have to spend time to take face-to-face classess, whereas I can study more things such as reading lecture notes or doing my homework.  Spending time to go is not efficient. 
   Second, students can reduce expenses. Some students buy bikes or lend something to ride, but they do not need if they can take classes by zoom. Buying bikes and automobiles are expensive for students. In addition, if they lend bikes or something to ride, they have to spend much expense.  
  Third, students feel free to spend time when they do not have class. Although there is just one class in a week, students tend to stay in dormitories because of transportation expenses. On the other hand,  if students can take classes by zoom, they can go home or trip when they don't have class. 
   In my opinion, students do not have to take face-to-face classes. It is true that there are some advantages when students take face-to-face classes, but it should be noted that students can save their time and reduce expenses by using zoom. So I think taking classes on the internet is better than offline classes.   "	5.0	4.5	4.5	14.0
162	Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer.		4.5	4.5	4.5	13.5
915	University: Some universities require students to take classes in many subjects. Other universities require students to specialize in one subject. Which is better? Use specific reasons and examples to support your answer.	"Benefits of Learning Variously

             Recently many kinds of fields have appeared, and the relationship between the fields has become more complex. In order to understand a field seriously, he or she needs to know some concepts from other fields like mathematics or chemistry.  Nowadays, many students are wondering multiple disciplines are helpful or not. I believe that students have to take classes in many subjects for some reasons.
             Firstly, students can learn various ideas from many kinds of subjects. Each subject like mathematics or economics requires different kinds of ideas or abilities. For example, mathematics requires rigorous proofs; however, economics requires explanations based on real life. Each idea can be useful for each situation. Therefore, students who know various ideas from different kinds of subjects have the potential to deal with various situations.
             Secondly, students can meet many other students in various fields. Since working together is pretty frequent nowadays, building communication skills and the relationships between many other people in various fields is important. Attending many classes of various majors gives opportunities of communicating with other students from different majors to students. Consequently, students who take classes in many subjects will be able to work with other coworkers more smoothly.
             Although some argue that specializing in one subject is the best for researching subjects, learning many subjects is helpful for improving the level of research. Many difficult problems like human disease can be solved with help of several fields. Moreover, people who know well in several fields can know a wider range of problems in this world. That is the reason why professors with various bases can find the topics of research easily.
             In conclusion, students who take classes in various subjects have the potential for becoming better workers and researchers. Taking many classes in many subjects not only can make students build wider relationships and good communication skills but also help them find research topics easily. Hence, students should take classes in many subjects."	4.5	4.5	4.5	13.5
1737	If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion.	"I agree that KAIST is perfect school but there is some things to improve with the system. To graduate in KAIST, there are lots of things to satisfy. One thing  is P.E. AU. It means every students have to  take 2 or more P.E. class  to graduate. I don't think this rule is a problem, I think P.E. is very important class for students so this is essential. The problem is that there are  so little classes opens in a semester. So I want to change this thing.
First of all, It makes students to graduate harder. This is fundamental reason of it. This year, there was so much students to listen this class so some students who are graduating semester, even didn't take the course. It made students to graduate 6 months later. It is a vert big thing that the lifecycle delays about 6 months in 20+ year old  students.
Another thing is that we can't take other courses that we want. In KAIST, we randomly get the courses for we have applied. Because of the mentioned problem, many students apply P.E. class for every semester. But, these courses are 3 hours class  not 1.5, 1.5 hours class than can occupy a lot of space in timetable. So this problem resulted students to make their timetable difficult.
These are reasons of why this problem is a thing to improve. Now I'll talk about the solutions. I suggests 2 solution. 
First solution is most intuitive solution, just making lots of classes and lots of student to take in a 1 course. I think this can help students. Even more, it can make a variation of classes. I think we don't have various subjects in KAIST. This can be another benefit/
Other solution is military AU. If we make it, students who went military can be  satistfy graduate rules. Then there will be less students to take course and it will solve the problem. Furthermore, it will be very big benefit to students who go to military. 18 months not studying and working at army is very big  loss to students plus the country.
In conclusion, I sensed the thing  that P.E. classes are too less in KAIST is a big problem  because it makes graduate difficult and it can effect other courses. So I suggested 2 solutions,  simply making more classes and military AU. I think there are more problems in KAIST even KAIST is very good university. Finding problems and thinking about its solution will be very beneficial to KAIST and others."	5.0	4.0	4.0	13.0
1447	If you could change one important thing about your university, what would you change? Give specific reasons and details to support your opinion.	"KAIST is one of the best university in Korea. It has good science instruments, good professors and good students. In my opinion, everything in KAIST is perfect. However, I think it would be better to change the location from Daejeon to Seoul. Some Kaistians will not agree to my thought because they are now comfortable with the KAIST in Daejeon. I will explain several reasons of changing location from Daejeon to Seoul.

  First, we can have more opportunities to get a job. Many cooperations and companies are located in Seoul. This means that students will likely to interact often with companies. For example, student can experience job fairs, company tour with ease. Also when we do job interview in the company's building which is located in Seoul, students who are not familiar with the region will not feel comfortable. 

  Second reason is that we can cooperate with other universities easily. Most major universities such as Seoul National University and Korea University are located in Seoul. We can cooperate with them through the online. But, it is more powerful to meet face to face. I heard that labs in KAIST are doing co-research with many universities. If the location is changed, process of research will be much more effective.

  Finally, more students will eager to enter the KAIST. Every students knows that KAIST is best university. However, some high school students do not prefer to enter the KAIST. I think the biggest reason is that KAIST located in Daejeon. High school students would prefer Seoul. When I was high school students, most of students wanted to go universities in Seoul. One reason is that good universities are  located in Seoul. The other reason is that there are many facilites they can enjoy ,and they can meet many other university students easily. If many students want to enter KAIST, it is good for KAIST. This is because many smart students will enter the KAIST.

  In conclusion, I would like to change the location of KAIST from Daejeon to Seoul. We can have more chance to get a job. We can coopoerate with other universities easily. More students will want to enter KAIST."	5.0	4.5	4.0	13.5
486	University: Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Which view do you agree with? Use specific reasons and examples to support your answer. 	"Advantages of Choosing Roommates Instead of Using Assigned Roommate
Many students live in the dormitory for several reasons. Some live there because of the distance, while some of them live dorm because of the cost. Although some students want to have a chance to make friends with roommates which university make for, dormitory is, in my opinion, some kind of house for students, so students should choose their own roommates. First, there could be a trouble if a student who school assign for the student. Next, students could their own hobby or interest with roommate who chosen by them.
To begin with, students spend their own time on the dormitory, and it is important to feel comfortable on that time. People have all different own character, it is same for the students. Thus, the roommate that is not own roommate would make a significant difference between them; then, the room could not be the best place to rest and they would always fight. In my own case, I was used the random roommate 2 years ago. At the first meeting, he seems to be a good person; however, few weeks later, he was not a clean man. He took a shower once per three days and left food for a one week on the desk. The smell of the room was terrible and the room was not feeling good for me. 
On top of that, as mentioned earlier, students spend a lot of time on their dorm. Students are not a machine for studying, so they should play for a several hours then they enjoy their own time as well. At that time, roommate could be a best partner to play with. Although random roommate could have the same hobby, the possibility is too low and if they choose their roommate, then it is one hundred percent coincidence with the roommate. Also, if the roommate has different interest, he or she have to find out friends outside of the dorm; it might be a time wasting.
On the other hand, some might say that random roommates could be a opportunity to make a new friend. Because there are not that much time for playing, they can easily contact a new person without effort. However, there are so many clubs in universities and it could be the better chance than the random roommate. They have the same interest, and it could help them more familiar easily.
To sum up, it could be a hard time for students when they are not matched on lifestyle which make problem between them. Assigning is not an efficient way for students rest as well. In addition, they have lots of other manner to make a new friend. Therefore, the university are not responsible for assigning the roommate because it could make the better result if students choose."	3.5	3.5	3.5	10.5
124	Some people think that they can learn better by themselves than with a teacher. Others think that it is always better to have a teacher. Which do you prefer? Use specific reasons to develop your essay.		4.0	4.0	4.0	12.0
1766	If you could change one important thing about your country, what would you change? Give specific reasons and details to support your opinion.	"There are many problems in S.Korea. The rich get richer, The poor get poorer.  And, not only the market system, there are many minor problem include military system.  If  I could change one important thing about S.Korea, I want to change the military service system.
First, girls also should go to military service. S.Korea's male should go to military service at when they are 20 years-old for about 2 years. They spend their important times of 20s in the military. Through girls' military service, we can reduce this period.  Also, more  than 90% of S.Korea's male should go to military service. It means you can walk and you are a male of S.Korea, you should go to military service  nevertheless you have a minor lack. This percentage is more than the Nazzi, Germany. If girls go to military service there can be more soldier and we can protect some males who are not fit in the military service and could get higher quality of  army  by reducing the percentage of males' military sercvice.
Second, S.Korea government should give more sevice to the soldier.  In the law, employeer should give more than 8720 won per a hour. According to this law, the soldier of S.Korea should get at least 2 milions won per a month. However,  the government gives them less than 500 thousands won per a month. Also,  the government should improve the quality of the food.  The price of the meal to the soldier is less than 5000 won per a meal. Nevertheless they go to military sevice to protect the country, why they should eat low-quality food?
In conclusion I want change the military service system of  the S.Korea. I want to change two things, girls' military service and the service to the soldier. Those two things should be done because we should improve the quality of the military. The problem of military is not just the problem of 20 years-old boys. The boys could be boyfriends, brothers and the problem also could be lead to protecting ability of S.Korea. So, I argued we should focus on the military's problem more and more."	4.5	4.0	3.5	12.0
268	Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer. 		4.5	4.5	4.0	13.0
437	Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer.	"Why I choose to study alone
 There are many ways to focus on study. Someone uses timer, someone uses blocker app which blocks distracting application and Internet sites, and someone move place to study cafe. There are some people who try to help focusing each other by making study group. I don't think this is solely bad idea, however, I prefer studying alone rather than studying with a group of students because of several reason.
 First, it takes too much time to get familiar with whom study with me. It looks easy, however, I have timid personality which makes me frozen when I try to talk to others. For example, when I started group study about English speaking, I couldn't say English sentences fully because I was too frustrated. It didn't get better until I leave the study group.  Even though it is non-verbal studying group, I am nervous because of thought that other students will see me. It keeps me not to do other things rather than studyng, but it also hinders me to focus on studying. 
 Second, studying group with friendly people is inefficient. It would be better if group members promised not to do any private acts, however, it is not easy. This gets worse if group members are friends, in order to get rid of the effect of my introvert personality. For example, I usually found myself who spent two and half hours just to eat dinner with other members. If I studied alone, I would spend only a half hour for simple meal. Also, we usually said jokes and tricked each other while studing. It is definitely waste of time. 
 Third, studying alone enhances my ability to focus on. Basically, we have a lot of things to focus on in society. Researching, working at company, or designing products are all example that requires focusing. In those cases, you cannot expect any help. You should solve your problem while other people do not care about how you are doing but only care about what you have done.  To prepare all of those works, the ability to focus on with only one's power is required. Studying alone is the best way to enhance your focusing ability since you should do all of the works by your own. 
 To sum up, there are not much advantages to study with other students. I have hard time when group members are not familiar and I waste so much time when group members are friends. Also, studying alone has its own benefit that enhances my focusing ability a lot. Other people might have different idea because they have different personalities and experiences compared to me. Anyway, I would choose studying alone by myself, rather than making studying group. "	4.0	4.5	4.0	12.5
