id,generous_model,harsh_model,baseline_grade,initial_generous_grade,initial_harsh_grade,final_generous_grade,final_harsh_grade,consensus_grade,actual_grade_0_15,actual_grade_0_100,rounds_used,converged,grade_difference,initial_swap_needed,total_warnings,total_swaps,big_jumps_generous,big_jumps_harsh,small_changes_generous,small_changes_harsh,medium_changes_generous,medium_changes_harsh,no_change_generous,no_change_harsh,total_grade_movement_generous,total_grade_movement_harsh,max_grade_movement_generous,max_grade_movement_harsh,min_grade_movement_generous,min_grade_movement_harsh,avg_grade_movement_generous,avg_grade_movement_harsh,initial_grade_gap,final_grade_gap,total_grade_gap_reduction,efficiency_score,stubbornness_score,volatility_score,generous_bias,harsh_bias,consensus_bias,baseline_bias
409,CHATGPT,CHATGPT,71,74,46,70,69,70,9.5,63.3,4,True,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,CLAUDE,CLAUDE,73,75,45,15,12,14,9.5,63.3,5,True,3,False,3,3,2,0,2,1,0,3,0,0,131,38,71,14,3,3,26.2,7.6,30,3,27,5.4,0.0,0.2,11.700000000000005,-18.3,-49.3,9.700000000000005
409,QWEN,QWEN,73,85,45,68,65,66,9.5,63.3,6,True,3,False,0,0,0,0,5,5,0,0,0,0,17,20,5,5,2,3,2.833333333333333,3.333333333333333,40,3,37,6.166666666666667,0.0,0.0,21.700000000000003,-18.3,2.700000000000003,9.700000000000005
409,GROK,GROK,70,78,55,70,68,69,9.5,63.3,7,True,2,False,0,0,0,0,6,6,0,0,0,0,8,13,2,5,1,1,1.1428571428571428,1.8571428571428568,23,2,21,3.0,0.0,0.0,14.700000000000005,-8.299999999999997,5.700000000000003,6.700000000000003
409,MISTRAL,MISTRAL,79,88,68,80,77,78,9.5,63.3,8,True,3,False,0,0,0,0,7,4,0,0,0,3,8,9,2,4,1,1,1.0,1.125,20,3,17,2.125,0.1875,0.0,24.700000000000003,4.700000000000003,14.700000000000005,15.700000000000005
409,COMMAND,COMMAND,79,65,65,65,65,65,9.5,63.3,1,True,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.7000000000000028,1.7000000000000028,1.7000000000000028,15.700000000000005
409,GEMMA,GEMMA,78,78,62,74,72,73,9.5,63.3,4,True,2,False,0,0,0,0,3,2,0,1,0,0,4,10,2,6,1,2,1.0,2.5,16,2,14,3.5,0.0,0.0,14.700000000000005,-1.2999999999999972,9.700000000000005,14.700000000000005
1375,CHATGPT,CHATGPT,78,70,56,66,66,66,10.0,66.7,3,True,0,False,0,0,0,0,2,1,0,1,0,0,4,10,2,8,2,2,1.3333333333333333,3.333333333333333,14,0,14,4.666666666666667,0.0,0.0,3.299999999999997,-10.700000000000005,-0.7000000000000028,11.299999999999995
1375,CLAUDE,CLAUDE,66,78,42,72,72,72,10.0,66.7,4,True,0,False,0,0,0,1,2,1,0,1,1,0,6,30,4,20,2,4,1.5,7.5,36,0,36,9.0,0.125,0.125,11.299999999999995,-24.700000000000003,5.299999999999997,-0.7000000000000028
1375,QWEN,QWEN,74,87,42,76,73,74,10.0,66.7,7,True,3,False,0,0,0,0,6,4,0,2,0,0,11,31,2,10,1,2,1.5714285714285714,4.428571428571429,45,3,42,6.0,0.0,0.0,20.3,-24.700000000000003,7.299999999999997,7.299999999999997
1375,GROK,GROK,69,78,45,68,67,68,10.0,66.7,6,True,1,False,0,0,0,0,5,4,0,1,0,0,10,22,2,10,2,1,1.6666666666666667,3.6666666666666665,33,1,32,5.333333333333333,0.0,0.0,11.299999999999995,-21.700000000000003,1.2999999999999972,2.299999999999997
1375,MISTRAL,MISTRAL,68,70,30,55,53,54,10.0,66.7,8,True,2,False,0,0,0,0,7,5,0,1,0,1,15,23,5,7,1,1,1.875,2.875,40,2,38,4.75,0.0625,0.0,3.299999999999997,-36.7,-12.700000000000005,1.2999999999999972
1375,COMMAND,COMMAND,84,75,65,73,71,72,10.0,66.7,3,True,2,False,1,1,0,0,2,2,0,0,0,0,4,8,3,5,1,3,1.3333333333333333,2.6666666666666665,10,2,8,2.6666666666666665,0.0,0.0,8.299999999999997,-1.7000000000000028,5.299999999999997,17.299999999999997
1375,GEMMA,GEMMA,65,70,58,66,64,65,10.0,66.7,5,True,2,False,0,0,0,0,3,2,0,0,1,2,4,6,2,4,1,2,0.8,1.2,12,2,10,2.0,0.3,0.0,3.299999999999997,-8.700000000000003,-1.7000000000000028,-1.7000000000000028
1902,CHATGPT,CHATGPT,88,75,54,69,68,68,11.0,73.3,3,True,1,False,0,0,0,0,2,1,0,1,0,0,6,14,5,11,1,3,2.0,4.666666666666667,21,1,20,6.666666666666667,0.0,0.0,1.7000000000000028,-19.3,-5.299999999999997,14.700000000000005
1902,CLAUDE,CLAUDE,78,78,52,58,6,32,11.0,73.3,8,False,52,False,3,3,3,2,5,5,0,0,0,1,188,122,61,58,2,1,23.5,15.25,26,52,-26,-3.25,0.0625,0.3125,4.700000000000003,-21.3,-41.3,4.700000000000003
1902,QWEN,QWEN,87,87,52,78,75,76,11.0,73.3,6,True,3,False,0,0,0,0,5,3,0,2,0,0,9,23,2,6,1,3,1.5,3.8333333333333335,35,3,32,5.333333333333333,0.0,0.0,13.700000000000005,-21.3,2.700000000000003,13.700000000000005
1902,GROK,GROK,78,78,55,68,65,66,11.0,73.3,7,True,3,False,0,0,0,0,6,6,0,0,0,0,10,10,2,3,1,1,1.4285714285714286,1.4285714285714286,23,3,20,2.857142857142857,0.0,0.0,4.700000000000003,-18.3,-7.299999999999997,4.700000000000003
1902,MISTRAL,MISTRAL,83,90,62,83,81,82,11.0,73.3,7,True,2,False,0,0,0,0,6,5,0,1,0,0,7,19,2,6,1,2,1.0,2.7142857142857144,28,2,26,3.7142857142857135,0.0,0.0,16.700000000000003,-11.299999999999995,8.700000000000003,9.700000000000005
1902,COMMAND,COMMAND,90,65,65,65,65,65,11.0,73.3,1,True,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-8.299999999999997,-8.299999999999997,-8.299999999999997,16.700000000000003
1902,GEMMA,GEMMA,85,70,30,65,58,62,11.0,73.3,8,False,7,False,0,0,0,1,3,2,0,1,5,4,5,28,2,15,1,3,0.625,3.5,40,7,33,4.125,0.5625,0.0625,-3.299999999999997,-43.3,-11.299999999999995,11.700000000000005
1558,CHATGPT,CHATGPT,62,70,46,63,63,63,9.0,60.0,3,True,0,False,0,0,0,0,2,1,0,1,0,0,7,17,4,14,3,3,2.333333333333333,5.666666666666667,24,0,24,8.0,0.0,0.0,10.0,-14.0,3.0,2.0
1558,CLAUDE,CLAUDE,64,72,28,68,68,68,9.0,60.0,2,True,0,False,0,0,0,1,1,0,0,0,0,0,4,40,4,40,4,40,2.0,20.0,44,0,44,22.0,0.0,0.25,12.0,-32.0,8.0,4.0
1558,QWEN,QWEN,52,85,45,72,70,71,9.0,60.0,6,True,2,False,0,0,0,0,5,3,0,2,0,0,13,25,5,8,2,2,2.1666666666666665,4.166666666666667,40,2,38,6.333333333333333,0.0,0.0,25.0,-15.0,11.0,-8.0
1558,GROK,GROK,68,78,48,70,67,68,9.0,60.0,6,True,3,False,0,0,0,0,5,4,0,1,0,0,8,19,2,7,1,1,1.3333333333333333,3.1666666666666665,30,3,27,4.5,0.0,0.0,18.0,-12.0,8.0,8.0
1558,MISTRAL,MISTRAL,54,70,58,67,64,66,9.0,60.0,3,True,3,False,0,0,0,0,2,2,0,0,0,0,3,6,2,4,1,2,1.0,2.0,12,3,9,3.0,0.0,0.0,10.0,-2.0,6.0,-6.0
1558,COMMAND,COMMAND,58,65,45,72,70,71,9.0,60.0,5,True,2,False,1,1,0,2,3,2,0,0,1,0,4,36,2,15,1,2,0.8,7.2,20,2,18,3.6,0.1,0.2,5.0,-15.0,11.0,-2.0
1558,GEMMA,GEMMA,66,70,30,70,30,50,9.0,60.0,8,False,40,False,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0.0,0.0,40,40,0,0.0,1.0,0.0,10.0,-30.0,-10.0,6.0
1431,CHATGPT,CHATGPT,84,72,42,65,63,64,11.0,73.3,4,True,2,False,0,0,0,0,3,2,0,1,0,0,7,21,4,13,1,3,1.75,5.25,30,2,28,7.0,0.0,0.0,-1.2999999999999972,-31.3,-9.299999999999995,10.700000000000005
1431,CLAUDE,CLAUDE,66,72,32,42,40,41,11.0,73.3,4,True,2,False,2,2,1,0,2,2,0,1,0,0,36,14,31,6,2,4,9.0,3.5,40,2,38,9.5,0.0,0.125,-1.2999999999999972,-41.3,-32.3,-7.299999999999997
1431,QWEN,QWEN,76,85,32,70,68,69,11.0,73.3,8,True,2,False,0,0,0,0,8,5,0,3,0,0,15,36,3,6,1,2,1.875,4.5,53,2,51,6.375,0.0,0.0,11.700000000000005,-41.3,-4.299999999999997,2.700000000000003
1431,GROK,GROK,85,78,48,67,65,66,11.0,73.3,6,True,2,False,0,0,0,0,5,4,0,1,0,0,11,17,3,7,1,2,1.8333333333333333,2.833333333333333,30,2,28,4.666666666666667,0.0,0.0,4.700000000000003,-25.3,-7.299999999999997,11.700000000000005
1431,MISTRAL,MISTRAL,70,87,48,76,73,74,11.0,73.3,7,True,3,False,0,0,0,0,6,5,0,1,0,0,11,25,3,8,1,2,1.5714285714285714,3.571428571428572,39,3,36,5.142857142857143,0.0,0.0,13.700000000000005,-25.3,0.7000000000000028,-3.299999999999997
1431,COMMAND,COMMAND,68,75,72,75,72,74,11.0,73.3,1,True,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,3,0,0.0,0.0,0.0,1.7000000000000028,-1.2999999999999972,0.7000000000000028,-5.299999999999997
1431,GEMMA,GEMMA,81,70,30,70,30,50,11.0,73.3,8,False,40,False,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0.0,0.0,40,40,0,0.0,1.0,0.0,-3.299999999999997,-43.3,-23.3,7.700000000000003
953,CHATGPT,CHATGPT,75,72,63,67,66,66,12.5,83.3,2,True,1,False,0,0,0,0,1,1,0,0,0,0,5,3,5,3,5,3,2.5,1.5,9,1,8,4.0,0.0,0.0,-11.299999999999995,-20.3,-17.299999999999997,-8.299999999999997
953,CLAUDE,CLAUDE,75,78,52,70,67,68,12.5,83.3,5,True,3,False,0,0,0,0,4,3,0,1,0,0,8,15,2,6,2,2,1.6,3.0,26,3,23,4.6,0.0,0.0,-5.299999999999997,-31.3,-15.299999999999995,-8.299999999999997
953,QWEN,QWEN,90,87,58,78,76,77,12.5,83.3,6,True,2,False,0,0,0,0,5,4,0,1,0,0,9,18,3,6,1,2,1.5,3.0,29,2,27,4.5,0.0,0.0,3.700000000000003,-25.3,-6.299999999999997,6.700000000000003
953,GROK,GROK,83,78,52,68,65,66,12.5,83.3,8,True,3,False,0,0,0,0,8,8,0,0,0,0,10,13,2,3,1,1,1.25,1.625,26,3,23,2.875,0.0,0.0,-5.299999999999997,-31.3,-17.299999999999997,-0.2999999999999971
953,MISTRAL,MISTRAL,87,92,30,81,79,80,12.5,83.3,8,True,2,False,0,0,0,1,8,5,0,2,0,0,11,49,3,25,1,2,1.375,6.125,62,2,60,7.5,0.0,0.0625,8.700000000000003,-53.3,-3.299999999999997,3.700000000000003
953,COMMAND,COMMAND,78,78,65,75,72,74,12.5,83.3,2,True,3,False,0,0,0,0,1,0,0,1,0,0,3,7,3,7,3,7,1.5,3.5,13,3,10,5.0,0.0,0.0,-5.299999999999997,-18.3,-9.299999999999995,-5.299999999999997
953,GEMMA,GEMMA,94,70,30,70,30,50,12.5,83.3,8,False,40,False,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0.0,0.0,40,40,0,0.0,1.0,0.0,-13.299999999999995,-53.3,-33.3,10.700000000000005
2247,CHATGPT,CHATGPT,93,72,56,63,63,63,10.5,70.0,3,True,0,False,0,0,0,0,1,2,1,0,0,0,9,7,6,4,3,3,3.0,2.333333333333333,16,0,16,5.333333333333333,0.0,0.0,2.0,-14.0,-7.0,23.0
2247,CLAUDE,CLAUDE,89,72,32,68,68,68,10.5,70.0,2,True,0,False,0,0,0,1,1,0,0,0,0,0,4,36,4,36,4,36,2.0,18.0,40,0,40,20.0,0.0,0.25,2.0,-38.0,-2.0,19.0
2247,QWEN,QWEN,95,85,35,65,63,64,10.5,70.0,7,True,2,False,0,0,0,0,6,5,0,1,0,0,20,28,5,10,1,2,2.857142857142857,4.0,50,2,48,6.857142857142857,0.0,0.0,15.0,-35.0,-6.0,25.0
